feature,importance
print_efficiency,0.3984662536173253
tv_efficiency,0.13532456654341696
digital_efficiency,0.10300185964391478
sales_rolling_mean_7,0.09296385066543034
print_spend,0.0728074175340854
tv_spend,0.04892052616406268
tv_spend_print_spend_interaction,0.03457900170230296
digital_spend,0.0311495868707165
print_spend_digital_spend_interaction,0.012843580049453752
sales_rolling_max_7,0.010980826580262754
sales_rolling_std_7,0.010057331792998135
radio_efficiency,0.008429695664719574
total_spend,0.008018223356382486
radio_spend_print_spend_interaction,0.0035229825876780256
print_spend_share,0.0031638479095851667
tv_spend_digital_spend_interaction,0.0031418324174454482
tv_spend_radio_spend_interaction,0.002400535324354805
competitor_price_change,0.0021811373514633173
sales_rolling_std_30,0.002016768469885265
radio_spend,0.0015399323753901588
print_spend_rolling_mean_7,0.001304543603777562
tv_spend_lag_7,0.0010699292827477628
sales_lag_1,0.0008727047388610509
digital_spend_lag_30,0.0008378759664833526
print_spend_lag_30,0.0008350164363333387
digital_spend_rolling_std_30,0.0006999010238992425
radio_spend_rolling_mean_7,0.0006198912652891667
price_change,0.0004930515161730518
radio_spend_digital_spend_interaction,0.00046690567213657094
our_price,0.0004173967164531192
digital_spend_share,0.00041114064029796206
digital_spend_rolling_max_30,0.00039650899572315405
print_spend_rolling_std_7,0.0003879155733264799
sales_lag_30,0.00034726825846124115
print_spend_rolling_std_30,0.00030722416298368816
tv_spend_rolling_mean_7,0.0003037388472019167
radio_spend_rolling_std_30,0.00028473283603026894
print_spend_lag_1,0.0002830306444372376
tv_spend_lag_30,0.0002681135968951104
radio_spend_lag_1,0.0002570048396354747
tv_spend_lag_1,0.000251958116198185
competitor_price,0.0002483711979915616
tv_spend_share,0.00023989846304912942
radio_spend_rolling_std_7,0.00022935041562862767
tv_spend_rolling_std_30,0.00019750304651362755
radio_spend_lag_30,0.00019301680764600914
print_spend_lag_7,0.00017899459196399787
sales_lag_7,0.0001649155766558141
radio_spend_share,0.00016360269884029105
digital_spend_rolling_std_7,0.0001459443847822439
day_of_week,0.00014470663425767227
seasonality,0.00014410502496792083
day_of_week_sin,0.00012839807432199504
tv_spend_rolling_max_7,0.00010690577774309125
radio_spend_rolling_mean_30,9.716723857867301e-05
radio_spend_lag_7,9.479318325712418e-05
price_advantage,9.3019625945919e-05
digital_spend_rolling_mean_30,9.049182398033424e-05
price_diff,8.454449662417764e-05
print_spend_rolling_mean_30,7.304610834472217e-05
radio_spend_rolling_max_7,7.208029380892585e-05
radio_spend_rolling_max_30,6.891270596398651e-05
tv_spend_rolling_std_7,6.814662146914993e-05
digital_spend_rolling_mean_7,6.45137828965949e-05
digital_spend_lag_1,5.482079397590395e-05
print_spend_rolling_max_7,4.440134558159547e-05
tv_spend_rolling_mean_30,4.375119707964956e-05
digital_spend_lag_7,3.8819665109378694e-05
print_spend_rolling_max_30,2.171706044314946e-05
price_ratio,1.956722821547069e-05
sales_rolling_mean_30,1.4834009222860076e-05
sales_rolling_max_30,1.293067894389382e-05
day_of_week_cos,1.2462724599600152e-05
quarter,8.537908137699322e-06
digital_spend_rolling_max_7,3.845228785134872e-06
month_sin,2.3963511408694262e-06
month_cos,1.8271643050268377e-06
quarter_sin,1.5390715058141961e-06
is_weekend,5.116435034817645e-07
tv_spend_rolling_max_30,0.0
holiday,0.0
quarter_cos,0.0
month,0.0
